catchment,x1,x2,x3,x4,NSE_cal,NSE_val,objective_value,gauge_lat,gauge_lon
01013500,2138.472463611538,2.0119138356575696,299.99991366441554,4.435526700883306,0.078064529,0.063422305,0.9219354713541821,47.23739,-68.58264
01022500,1071.0058659595088,0.9046639787853914,66.44021769471645,1.210611630980402,0.5098211862349322,0.59124077,0.4901788137650678,44.60797,-67.93524
01030500,1186.8762558824087,1.2806716911360354,79.86338616,3.406301118,0.2781769914915452,0.2836912361692203,0.7218230085084548,45.50097,-68.30596
01031500,685.5936102681053,0.6968714375874852,31.06793751,1.0788182269523925,0.4148229282220912,0.3541341649032108,0.5851770717779088,45.17501,-69.3147
01047000,839.3523191,1.1750602616796404,29.445117037897987,0.9999906557283282,0.40237571863695865,0.38623719929125533,0.5976242813630414,44.8692,-69.9551
01052500,2343.9902844991493,0.4292258464116891,19.22667884664414,1.0235111663726173,0.13979946376645247,0.18618921772652475,0.8602005362335475,44.87739,-71.05749
01054200,706.2853627979991,0.5774817111659895,14.810388208541603,0.5007518534998243,0.38415690379459166,0.2914611324988361,0.6158430962054083,44.39044,-70.97964
01055000,847.2026121494014,0.6795802299941809,14.060634845380193,0.5007882464653188,0.33863178086847445,0.27455790851496575,0.6613682191315255,44.64275,-70.58878
01057000,731.9759715498565,0.4869048458227777,35.40768176307389,1.0373755926503252,0.504578496,0.4914562625552311,0.49542150421377595,44.30399,-70.53968
01073000,572.4379104833447,0.4589723673304409,46.045338377609525,1.0653430121301992,0.6624734671174959,0.7566592743090649,0.3375265328825041,43.1487,-70.96506
01078000,1084.1558024039527,0.4114371557196985,34.963847841109704,1.14696252,0.41110466585142613,0.4641941505641858,0.5888953341485739,43.56646,-71.74786
01118300,473.7258606,0.733809942,73.73232139960407,1.0227025389259723,0.7572392800662477,0.7607903514550136,0.24276071993375226,41.47482,-71.83424
01121000,731.2837545277044,0.2676943912995092,47.45463767035638,0.5004844832094395,0.713996678,0.7188434375328219,0.286003322,41.84371,-72.16897
01123000,786.6875246735318,-0.102957386,61.25300717,0.6970621894899909,0.7620412318471527,0.7820064651778837,0.23795876815284733,41.67177,-72.0523
01134500,1502.3558594531355,0.4500666712523579,16.218314031667212,1.1637147777220949,0.21884506434434925,0.30673805569338486,0.7811549356556508,44.51172,-71.83731
01137500,1288.997530571455,0.31461790587216715,26.770770057123137,0.5004852158584748,0.34365605697679946,0.3270228914801273,0.6563439430232005,44.26867,-71.63036
01139000,1355.1136569838595,0.6405533241484568,31.639830218652442,0.6240071328483161,0.3633863129584348,0.3763261039399155,0.6366136870415652,44.15034,-72.06509
01139800,1224.0066323101796,2.008886908139429,183.30538158942312,0.500483583,0.19721194537179632,0.1785429949492967,0.8027880546282037,44.09284,-72.33565
01142500,971.6992618790741,1.0068101820749251,66.99347670602086,0.5003023972230976,0.2935929926436174,0.25256822729748785,0.7064070073563826,43.93451,-72.65788
01144000,1015.9088562579567,0.8386284981013492,46.98440359,0.5668732239660561,0.3171437671626587,0.35668231801045713,0.6828562328373413,43.71424,-72.41815
01162500,848.4457017877464,0.12320129733095225,69.01437743677351,1.2029018434900198,0.5136128609246378,0.6043972512192846,0.48638713907536224,42.68259,-72.11508
01169000,1048.198611757222,0.5494806186607969,36.43715425127509,0.5003109446494071,0.433923551,0.42641163557252915,0.566076449,42.63842,-72.72509
01170100,1120.4358098101875,0.5226044417979927,47.955394294104984,0.5002130539103302,0.4091705010077985,0.4046905027869546,0.5908294989922015,42.70342,-72.67065
01181000,822.0511541137673,0.7003567064806017,36.81359271433328,0.500228286,0.5057198426063395,0.459500923,0.4942801573936605,42.23731,-72.89565
01187300,781.2517150432404,0.44956590336624164,29.525209717453734,0.5007732517757069,0.5502448408869285,0.5824943301346113,0.4497551591130715,42.03732,-72.93899
01195100,618.0025149413226,-0.124822829,52.875384266551585,0.8468115091348638,0.69998501,0.6143047804914192,0.30001498987768604,41.30593,-72.5312
01333000,731.5258643682178,0.9177868688915283,67.74194185237019,0.5007214382926628,0.4720480455362186,0.4812368511761893,0.5279519544637814,42.70897,-73.19677
01350000,585.2541730141781,0.5838808837155232,38.56710359831359,0.5008228055148144,0.4822646721601114,0.4350023739232466,0.5177353278398886,42.31953,-74.43654
01350080,792.3707202033556,0.25408332153695123,52.09380141888358,0.5008996566949441,0.38719966453003773,0.3660146628969041,0.6128003354699623,42.37703,-74.41292
01350140,647.3698030818631,0.3529610655716001,47.466035464802104,0.5005554845197301,0.3333859588758624,0.39436166080999535,0.6666140411241376,42.42897,-74.47293
01365000,751.2635067910048,1.1707055814127765,56.11190946998963,0.5008958118443101,0.471500486,0.5598557562086361,0.528499514,41.86648,-74.4871
01411300,1276.761115201956,0.47014948657197964,64.79643247947467,1.372315466807136,0.7366790568968364,0.6745396784506263,0.26332094310316356,39.30694,-74.82056
01413500,519.3681101540402,0.5712591039142045,65.14406927,0.5010337337014921,0.488977956,0.45039546281034426,0.511022044,42.14481,-74.65349
01414500,511.6694610411397,0.652699107,61.74125555774623,0.5001563499827633,0.46816737518827145,0.45768508156350407,0.5318326248117285,42.1062,-74.73043
01415000,490.7043798316959,0.24918055984466142,57.96564603640917,0.5014462559444698,0.5163356786949637,0.4570921113738302,0.48366432130503634,42.12009,-74.81849
01423000,403.7476706,0.4983794929218055,61.76061397022342,0.7981085507894945,0.5083424104379914,0.6215475322614038,0.49165758956200856,42.1662,-75.13989
01434025,1108.853585777655,0.629079009,28.919970030009694,0.5004384633683707,0.37085858919605064,0.34908467086386974,0.6291414108039494,41.99537,-74.50099
01435000,758.3678596900513,0.926028162,29.761419465889055,0.5002589467701786,0.4686504159412582,0.47852826663081205,0.5313495840587418,41.89009,-74.58988
01439500,490.4412655008971,1.549933474640257,89.64004523514251,1.022330203769777,0.6549796147658716,0.7227190168535199,0.34502038523412837,41.08815,-75.03767
01440000,558.7352888187579,0.7066384612763335,55.56118594500557,0.9783570243620661,0.6785352698903271,0.7761689624440565,0.3214647301096729,41.10667,-74.95222
01440400,452.8888370245028,1.2385688169587443,60.86835560414933,0.5002415500919973,0.6212845125191064,0.6825330863916323,0.37871548748089356,41.08481,-75.21462
01451800,270.01681258470387,0.6180507912704483,51.870514789690944,0.8020832050901393,0.6892980890428206,0.6930280349064608,0.31070191095717936,40.66176,-75.62685
01466500,2414.5271948881423,-4.999995499,195.84420264226992,1.0038982714899896,0.692270522,0.47237556330626385,0.30772947820002505,39.885,-74.50528
01484100,820.0337528478576,-0.271220297,79.97933604042976,0.6356293088131683,0.673666243,0.5269427199063472,0.326333757,38.90578,-75.51275
01485500,367.91081643913554,-0.030980146,41.069769085954164,2.2220169973940296,0.8077014618181075,0.7492492106521109,0.19229853818189246,38.22892,-75.47144
01486000,425.91851063784446,-0.231703466,40.08108594382111,1.0542954000529405,0.7782435069955994,0.7269883638576738,0.2217564930044006,38.21389,-75.67139
01487000,747.5626881165631,0.036352939435622844,150.21889130553313,1.0765505145645382,0.8114261833184749,0.6940492539596483,0.18857381668152506,38.72833,-75.56186
01491000,535.7677979366644,0.098148804,41.25887037184303,1.4278758883617577,0.7113676710343442,0.4436246382725878,0.2886323289656558,38.99719,-75.78581
01510000,530.3704567852317,0.8354510608696615,40.95180201070204,0.5006124414661883,0.38817670500469914,0.5434475485339882,0.6118232949953009,42.54118,-75.89964
01516500,519.5382090093764,-0.475928043,25.824238291330843,0.5009398180757351,0.3540589000051625,0.524452945,0.6459410999948375,41.79091,-77.01469
